"","GEOID","total","over_200","percent"
"221","06037127400",1763,30,1.70164492342598
"222","06037127520",1111,0,0
"223","06037127603",871,0,0
"224","06037127604",1114,0,0
"225","06037127605",1092,12,1.0989010989011
"226","06037127606",1138,35,3.07557117750439
"227","06037127711",1125,145,12.8888888888889
"228","06037127712",1138,0,0
"229","06037127803",1260,64,5.07936507936508
"230","06037127804",1426,33,2.31416549789621
"231","06037127805",1131,116,10.2564102564103
"232","06037127806",1209,13,1.0752688172043
"233","06037127910",1424,8,0.561797752808989
"234","06037127920",1224,17,1.38888888888889
"235","06037128101",1262,47,3.72424722662441
"236","06037128102",1346,28,2.08023774145617
"237","06037128210",1409,20,1.4194464158978
"238","06037128220",1147,46,4.0104620749782
"239","06037128302",1447,0,0
"240","06037128303",1050,0,0
"241","06037128400",1758,54,3.07167235494881
"242","06037128500",1819,94,5.1676745464541
"243","06037128601",1595,24,1.50470219435737
"244","06037128602",1315,113,8.59315589353612
"245","06037128702",2665,242,9.08067542213884
"246","06037128801",1868,135,7.22698072805139
"247","06037128802",1988,58,2.91750503018109
"248","06037128910",1801,158,8.7729039422543
"249","06037131010",1924,0,0
"250","06037131020",1502,43,2.86284953395473
"251","06037131100",1013,23,2.27048371174729
"252","06037131200",1146,94,8.20244328097731
"253","06037131300",1134,48,4.23280423280423
"254","06037131400",1751,36,2.05596801827527
"255","06037131600",1424,38,2.6685393258427
"256","06037131701",1634,69,4.22276621787026
"257","06037131702",1064,11,1.03383458646617
"258","06037131800",1497,17,1.13560454241817
"259","06037131900",1345,38,2.82527881040892
"260","06037132001",1165,124,10.6437768240343
"261","06037132002",1048,62,5.91603053435114
"262","06037132101",1593,43,2.6993094789705
"263","06037132102",2044,148,7.24070450097847
"264","06037132300",2369,58,2.44829041789785
"265","06037132501",985,0,0
"266","06037132502",1242,8,0.644122383252818
"267","06037132700",1466,9,0.613915416098227
"268","06037132900",1304,144,11.0429447852761
"269","06037133000",1152,0,0
"270","06037133100",1904,114,5.98739495798319
"271","06037134001",899,0,0
"272","06037134002",1004,30,2.98804780876494
"273","06037134101",1518,8,0.527009222661397
"274","06037134103",1235,28,2.26720647773279
"275","06037134104",1313,96,7.31150038080731
"276","06037134201",1153,63,5.46400693842151
"277","06037134302",1255,86,6.85258964143426
"278","06037134303",1689,58,3.4339846062759
"279","06037134304",834,57,6.83453237410072
"280","06037134305",1078,0,0
"281","06037134306",1136,94,8.27464788732394
"282","06037134421",1360,179,13.1617647058824
"283","06037134422",1555,216,13.8906752411576
"284","06037134423",1289,83,6.43910007757952
"285","06037134424",949,307,32.349841938883
"286","06037134520",1711,0,0
"287","06037134521",618,0,0
"288","06037134522",1240,0,0
"289","06037134710",1551,36,2.321083172147
"290","06037134720",1536,30,1.953125
"291","06037134800",1841,62,3.36773492667029
"292","06037134901",1111,43,3.87038703870387
"293","06037134903",1930,0,0
"294","06037134904",1483,8,0.539447066756575
"295","06037134905",1268,213,16.7981072555205
"296","06037135102",1240,72,5.80645161290323
"297","06037135111",1144,39,3.40909090909091
